route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
21,G2511L_F3,G2511L_F3_044-01_3,Puerto de la Torre,0,044-01,213
21,G2511L_F3,G2511L_F3_044-01_4,Paseo del Parque,1,044-01,214
21,G2511L_F3,G2511L_F3_044-01_5,Puerto de la Torre,0,044-01,213
44,G2511L_F3,G2511L_F3_044-01_7,Puerto de la Torre,0,044-01,443
44,G2511L_F3,G2511L_F3_044-01_8,Paseo del Parque,1,044-01,445
44,G2511L_F3,G2511L_F3_044-01_9,Puerto de la Torre,0,044-01,443
44,G2511L_F3,G2511L_F3_044-01_10,Paseo del Parque,1,044-01,445
25,G2511L_F3,G2511L_F3_044-02_2,Maqueda,0,044-02,258
25,G2511L_F3,G2511L_F3_044-02_3,Pso. Parque,1,044-02,252
25,G2511L_F3,G2511L_F3_044-02_4,Maqueda,0,044-02,258
25,G2511L_F3,G2511L_F3_044-02_5,Pso. Parque,1,044-02,252
44,G2511L_F3,G2511L_F3_044-02_6,Puerto de la Torre,0,044-02,443
44,G2511L_F3,G2511L_F3_044-02_7,Paseo del Parque,1,044-02,445
44,G2511L_F3,G2511L_F3_044-02_8,Puerto de la Torre,0,044-02,443
44,G2511L_F3,G2511L_F3_044-02_9,Paseo del Parque,1,044-02,445
44,G2511L_F3,G2511L_F3_044-03_2,Puerto de la Torre,0,044-03,443
44,G2511L_F3,G2511L_F3_044-03_3,Paseo del Parque,1,044-03,445
44,G2511L_F3,G2511L_F3_044-03_4,Puerto de la Torre,0,044-03,443
44,G2511L_F3,G2511L_F3_044-03_5,Paseo del Parque,1,044-03,445
44,G2511L_F3,G2511L_F3_044-03_6,Puerto de la Torre,0,044-03,443
44,G2511L_F3,G2511L_F3_044-03_7,Paseo del Parque,1,044-03,445
44,G2511L_F3,G2511L_F3_044-03_8,Puerto de la Torre,0,044-03,443
62,G2511L_F3,G2511L_F3_062-01_2, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_3, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_4, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_5,Louis Pasteur - Jimenez Fraud,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_6, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_7, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_8, Puerto de la Torre,0,062-01,624
62,G2511L_F3,G2511L_F3_062-01_9,Louis Pasteur - Jimenez Fraud,0,062-01,624
62,G2511L_F3,G2511L_F3_062-02_2, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_3, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_4, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_5,Louis Pasteur - Jimenez Fraud,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_6, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_7, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_8, Puerto de la Torre,0,062-02,624
62,G2511L_F3,G2511L_F3_062-02_9,Louis Pasteur - Jimenez Fraud,0,062-02,624
62,G2511L_F3,G2511L_F3_062-03_2, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_3, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_4, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_5,Louis Pasteur - Jimenez Fraud,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_6, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_7, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_8, Puerto de la Torre,0,062-03,624
62,G2511L_F3,G2511L_F3_062-03_9, Puerto de la Torre,0,062-03,624
65,G2511L_F3,G2511L_F3_065-01_2,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_3,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_4,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_5,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_6,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_7,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_8,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_9,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_10,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_11,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_12,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_13,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-01_14,Industriales,0,065-01,651
65,G2511L_F3,G2511L_F3_065-01_15,UMA,1,065-01,652
65,G2511L_F3,G2511L_F3_065-02_2,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_3,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-02_4,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_5,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-02_6,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_7,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-02_8,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_9,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-02_10,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_11,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-02_12,Industriales,0,065-02,651
65,G2511L_F3,G2511L_F3_065-02_13,UMA,1,065-02,652
65,G2511L_F3,G2511L_F3_065-03_2,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_3,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_4,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_5,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_6,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_7,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_8,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_9,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_10,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_11,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_12,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_13,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-03_14,Industriales,0,065-03,651
65,G2511L_F3,G2511L_F3_065-03_15,UMA,1,065-03,652
65,G2511L_F3,G2511L_F3_065-04_2,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_3,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_4,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_5,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_6,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_7,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_8,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_9,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_10,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_11,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_12,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_13,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_14,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_15,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_16,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_17,UMA,1,065-04,652
65,G2511L_F3,G2511L_F3_065-04_18,Industriales,0,065-04,651
65,G2511L_F3,G2511L_F3_065-04_19,UMA,1,065-04,652
70,G2511L_F3,G2511L_F3_070-01_2,PTA,0,070-01,704
70,G2511L_F3,G2511L_F3_070-02_2,PTA,0,070-02,704
70,G2511L_F3,G2511L_F3_070-03_2,PTA,0,070-03,704
70,G2511L_F3,G2511L_F3_070-04_2,PTA,0,070-04,704
71,G2511L_F3,G2511L_F3_071-01_2,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_3,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_4,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_5,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_6,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_7,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_8,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_9,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_10,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_11,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_12,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_13,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_14,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_15,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_16,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_17,Martínez de la Rosa,0,071-01,712
71,G2511L_F3,G2511L_F3_071-01_18,Av. Aurora - Pza. Enrique Navarro Sur,0,071-01,712
71,G2511L_F3,G2511L_F3_071-02_2,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_3,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_4,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_5,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_6,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_7,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_8,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_9,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_10,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_11,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_12,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_13,Martínez de la Rosa,0,071-02,712
71,G2511L_F3,G2511L_F3_071-02_14,Av. Aurora - Pza. Enrique Navarro Sur,0,071-02,712
71,G2511L_F3,G2511L_F3_071-03_2,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_3,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_4,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_5,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_6,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_7,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_8,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_9,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_10,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_11,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_12,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_13,Martínez de la Rosa,0,071-03,712
71,G2511L_F3,G2511L_F3_071-03_14,Av. Aurora - Pza. Enrique Navarro Sur,0,071-03,712
71,G2511L_F3,G2511L_F3_071-04_2,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_3,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_4,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_5,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_6,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_7,Martínez de la Rosa,0,071-04,712
71,G2511L_F3,G2511L_F3_071-04_8,Martínez de la Rosa,0,071-04,712
